Invoice ID,Branch,City,Customer type,Gender,Product line, Unit price ,Quantity, Tax 5% ,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,549,1/5/2019,1:08:00 PM,Ewallet,522.83,4.76,26.14,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80,3/8/2019,10:29:00 AM,Cash,76.4,4.76,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,341,3/3/2019,1:23:00 PM,Credit card,324.31,4.76,16.22,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489,1/27/2019,8:33:00 PM,Ewallet,465.76,4.76,23.29,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634,2/8/2019,10:37:00 AM,Ewallet,604.17,4.76,30.21,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.89,628,3/25/2019,6:30:00 PM,Ewallet,597.73,4.76,29.89,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,434,2/25/2019,2:36:00 PM,Ewallet,413.04,4.76,20.65,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772,2/24/2019,11:38:00 AM,Ewallet,735.6,4.76,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76,1/10/2019,5:15:00 PM,Credit card,72.52,4.76,3.63,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,173,2/20/2019,1:27:00 PM,Credit card,164.52,4.76,8.23,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.9,61,2/6/2019,6:07:00 PM,Ewallet,57.92,4.76,2.9,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.1,107,3/9/2019,5:03:00 PM,Cash,102.04,4.76,5.1,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246,2/12/2019,10:25:00 AM,Ewallet,234.75,4.76,11.74,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.6,454,2/7/2019,4:48:00 PM,Ewallet,431.9,4.76,21.6,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749,3/29/2019,7:21:00 PM,Cash,713.8,4.76,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590,1/15/2019,4:19:00 PM,Cash,562.32,4.76,28.12,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.13,507,3/11/2019,11:03:00 AM,Credit card,482.51,4.76,24.13,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457,1/1/2019,10:39:00 AM,Credit card,435.66,4.76,21.78,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2,172,1/21/2019,6:00:00 PM,Credit card,164.01,4.76,8.2,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,85,3/11/2019,3:30:00 PM,Ewallet,80.6,4.76,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,452,2/25/2019,11:24:00 AM,Ewallet,430.2,4.76,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.2,277,3/5/2019,10:40:00 AM,Ewallet,263.94,4.76,13.2,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,70,3/15/2019,12:20:00 PM,Credit card,66.4,4.76,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181,2/17/2019,11:15:00 AM,Ewallet,172.8,4.76,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.29,279,3/2/2019,5:36:00 PM,Ewallet,265.89,4.76,13.29,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,442,3/22/2019,7:20:00 PM,Credit card,420.72,4.76,21.04,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.68,35,2/8/2019,3:31:00 PM,Cash,33.52,4.76,1.68,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.77,184,3/10/2019,12:17:00 PM,Credit card,175.34,4.76,8.77,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,464,1/25/2019,7:48:00 PM,Cash,441.8,4.76,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2,235,3/15/2019,3:36:00 PM,Cash,224.01,4.76,11.2,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.53,494,2/25/2019,7:39:00 PM,Credit card,470.65,4.76,23.53,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.13,738,1/28/2019,12:43:00 PM,Cash,702.63,4.76,35.13,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.51,704,1/10/2019,2:49:00 PM,Cash,670.24,4.76,33.51,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.66,203,3/15/2019,10:12:00 AM,Credit card,193.16,4.76,9.66,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,418,2/6/2019,10:42:00 AM,Ewallet,397.68,4.76,19.88,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,72,1/7/2019,12:28:00 PM,Ewallet,68.12,4.76,3.41,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.66,329,3/10/2019,7:15:00 PM,Ewallet,313.1,4.76,15.66,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.4,575,1/15/2019,5:17:00 PM,Ewallet,547.92,4.76,27.4,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.97,461,3/23/2019,1:24:00 PM,Ewallet,439.36,4.76,21.97,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.05,253,3/3/2019,1:01:00 PM,Cash,240.96,4.76,12.05,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.34,91,1/17/2019,6:45:00 PM,Ewallet,86.72,4.76,4.34,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.61,118,2/2/2019,10:11:00 AM,Cash,112.22,4.76,5.61,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435,2/8/2019,1:03:00 PM,Cash,414.72,4.76,20.74,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829,3/4/2019,8:39:00 PM,Cash,789.6,4.76,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.54,32,3/16/2019,7:47:00 PM,Cash,30.74,4.76,1.54,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,395,3/9/2019,6:00:00 PM,Cash,375.84,4.76,18.79,9.5
