Type,Subtype,Account,SubAccount,ValueType,Account_Key,Sort on Type,Sort on SubType,,,Column3
Cash and Cash equivalents at the start of the year,Cash and Bank at start,Cash at bank,Cash at bank,Opening_balance,10,1,1,,,
Cash and Cash equivalents at the start of the year,Cash and Bank at start,Cash in hand,Cash in hand,Opening_balance,20,1,1,,,
Cash flows from Operating Activities,Profit before tax,Sales,Sales,All_FTP,210,2,2,,,
Cash flows from Operating Activities,Profit before tax,Sales,Sales Return,All_FTP,220,2,2,,,
Cash flows from Operating Activities,Profit before tax,Cost of Sales,Cost of Sales,All_FTP,230,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Salaries,All_FTP,240,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Bad Debt Expense,All_FTP,250,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Commissions,All_FTP,260,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Conferences,All_FTP,270,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Advertisements,All_FTP,280,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Travel,All_FTP,290,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Entertainment,All_FTP,300,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Office Supplies,All_FTP,310,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Professional Services,All_FTP,320,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Telephone,All_FTP,330,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Utilities,All_FTP,340,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Other Expenses,All_FTP,350,2,2,,,
Cash flows from Operating Activities,Profit before tax,Operating Expenses,Rent,All_FTP,360,2,2,,,
Cash flows from Operating Activities,Profit before tax,Depreciation & Amortization,Vehicles,All_FTP,370,2,2,,,
Cash flows from Operating Activities,Profit before tax,Depreciation & Amortization,Equipment,All_FTP,380,2,2,,,
Cash flows from Operating Activities,Profit before tax,Depreciation & Amortization,Furniture and Fixtures,All_FTP,390,2,2,,,
Cash flows from Operating Activities,Profit before tax,Depreciation & Amortization,Amortization of Intangible Assets,All_FTP,400,2,2,,,
Cash flows from Operating Activities,Profit before tax,Interest Income,Interest Income,All_FTP,410,2,2,,,
Cash flows from Operating Activities,Profit before tax,Gain/Loss on Sales of Asset,Gain/Loss on Sales of Asset,All_FTP,420,2,2,,,
Cash flows from Operating Activities,Profit before tax,Exchange Loss/Gain,Exchange Loss/Gain,All_FTP,430,2,2,,,
Cash flows from Operating Activities,Profit before tax,Dividend Income,Dividend Income,All_FTP,431,2,2,,,
Cash flows from Operating Activities,Profit before tax,Interest Expense,Interest Expense,All_FTP,440,2,2,,,
Cash flows from Operating Activities,Interest Expense,Interest Expense,Interest Expense,All_FTP_CS,440,2,3,,,
Cash flows from Operating Activities,Non-Operating,Interest Income,Interest Income,All_FTP_CS,410,2,4,,,
Cash flows from Operating Activities,Non-Operating,Gain/Loss on Sales of Asset,Gain/Loss on Sales of Asset,All_FTP_CS,420,2,4,,,
Cash flows from Operating Activities,Non-Operating,Dividend Income,Dividend Income,All_FTP_CS,431,2,4,,,
Cash flows from Operating Activities,Non-Cash items,Depreciation,Vehicles,All_FTP_CS,370,2,4,,,
Cash flows from Operating Activities,Non-Cash items,Depreciation,Equipment,All_FTP_CS,380,2,4,,,
Cash flows from Operating Activities,Non-Cash items,Depreciation,Furniture and Fixtures,All_FTP_CS,390,2,4,,,
Cash flows from Operating Activities,Non-Cash items,Amortization,Amortization,All_FTP_CS,400,2,4,,,
Cash flows from Operating Activities,Working Capital Changes,Receivables,Trade Receivables,All_FTP_CS,30,2,5,,,
Cash flows from Operating Activities,Working Capital Changes,Receivables,Other Receivables,All_FTP_CS,40,2,5,,,
Cash flows from Operating Activities,Working Capital Changes,Inventory,Inventory,All_FTP_CS,60,2,5,,,
Cash flows from Operating Activities,Working Capital Changes,Payables,Trade Payables,All_FTP,110,2,5,,,
Cash flows from Operating Activities,Working Capital Changes,Payables,Accrued Expenses,All_FTP,120,2,5,,,
Cash flows from Operating Activities,Interest Paid,Interest payable,Interest payable,All_FTP_Negative,121,2,6,,,
Cash flows from Operating Activities,Tax paid,Tax expense,Tax expense,All_FTP,450,2,7,,,
Cash flows from Operating Activities,Tax paid,Tax payable,Tax payable,All_FTP,122,2,7,,,
Cash flows from Investing Activities,Purchase of Non-Current Assets,"Property, Plant, & Equipment",Land & Buildings,All_FTP_Positive_CS,80,3,8,,,
Cash flows from Investing Activities,Purchase of Non-Current Assets,"Property, Plant, & Equipment",Office Furniture & Equipment,All_FTP_Positive_CS,90,3,8,,,
Cash flows from Investing Activities,Purchase of Non-Current Assets,Intangible Assets,Patents and trademarks,All_FTP_Positive_CS,100,3,8,,,
Cash flows from Investing Activities,Sale of Non-Current Assets,"Property, Plant, & Equipment",Land & Buildings,All_FTP_Negative_CS,80,3,9,,,
Cash flows from Investing Activities,Sale of Non-Current Assets,"Property, Plant, & Equipment",Office Furniture & Equipment,All_FTP_Negative_CS,90,3,9,,,
Cash flows from Investing Activities,Sale of Non-Current Assets,"Property, Plant, & Equipment",Depreciation,All_FTP,380,3,9,,,
Cash flows from Investing Activities,Sale of Non-Current Assets,"Property, Plant, & Equipment",Gain/Loss on Sales of Asset,All_FTP,420,3,9,,,
Cash flows from Investing Activities,Sale of Non-Current Assets,Intangible Assets,Patents and trademarks,All_FTP_Negative_CS,100,3,9,,,
Cash flows from Investing Activities,Sale of Non-Current Assets,Intangible Assets,Amortization,All_FTP,400,3,9,,,
Cash flows from Investing Activities,Investments,Investments,Investments,All_FTP_Positive_CS,75,3,10,,,
Cash flows from Investing Activities,Interest received,Interest Income,Interest Income,All_FTP,410,3,11,,,
Cash flows from Investing Activities,Interest received,Interest receivable,Interest receivable,All_FTP,41,3,11,,,
Cash flows from Investing Activities,Dividends received,Dividend Income,Dividend Income,All_FTP,431,3,12,,,
Cash flows from Investing Activities,Dividends received,Dividend receivable,Dividend receivable,All_FTP,42,3,12,,,
Cashflows from Financing Activities,Proceeds from the issuance of Share Capital,Share Capital,Share Capital,All_FTP,180,4,13,,,
Cashflows from Financing Activities,Proceeds from the issuance of Share Capital,Share Premium,Share Premium,All_FTP,190,4,13,,,
Cashflows from Financing Activities,Proceeds from long term borrowings,Long term loan,Long term loan,All_FTP_Positive,160,4,14,,,
Cashflows from Financing Activities,Proceeds from long term borrowings,Long term loan,Long term loan,All_FTP_Positive,170,4,14,,,
Cashflows from Financing Activities,Repayment of Long term loan,Long term loan,Long term loan,All_FTP_Negative,160,4,15,,,
Cashflows from Financing Activities,Repayment of Long term loan,Long term loan,Long term loan,All_FTP_Negative,170,4,15,,,
Cashflows from Financing Activities,Dividends paid,Dividends,Dividends,All_FTP_Negative,135,4,16,,,
Cash and Cash equivalents at the end of the year,Cash and Bank at end,Cash at bank,Cash at bank,Closing_balance,10,5,17,,,
Cash and Cash equivalents at the end of the year,Cash and Bank at end,Cash in hand,Cash in hand,Closing_balance,20,5,17,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
